,BIN,ISSUE_DATE,VIOLATION_TYPE_CODE,VIOLATION_CATEGORY,VIOLATION_TYPE
2963,3247955.0,19891024,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
3182,5113197.0,19900927,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
3823,1085694.0,19890522,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
5064,3336018.0,19881014,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
7896,1811675.0,19891017,LL16,V-DOB VIOLATION - ACTIVE,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
9318,1803956.0,19900205,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
12715,4151322.0,19890928,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
13697,2070412.0,19891018,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
14219,1059889.0,19891211,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
15242,1080745.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
15582,1038579.0,19910425,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
17097,1080673.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
17188,1015873.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
17534,1001134.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
18921,4029867.0,19880914,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
19701,1026728.0,19900314,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
20230,4094699.0,19880825,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
21086,1001019.0,19890323,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
21379,1020418.0,19891212,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
24334,3324164.0,19890601,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
25790,1034512.0,19801015,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
27900,1024876.0,19930310,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
